number_of_visits;revenue
43;69.25
81;66.83
110;43.82
106;31.28
56;69.28
41;73.21
117;37.75
58;66.04
34;61.31
88;35.54
68;48.21
77;65.04
57;64.69
38;85.01
43;66.45
45;78.73
52;72.77
66;56.23
50;61.24
48;91.97
63;47.61
54;83.66
57;77.17
78;40.36
50;87.18
73;59.88
26;81.11
77;65.18
38;80.25
41;83.09
45;70.0
88;47.83
34;76.75
72;43.94
64;52.82
102;46.58
53;48.97
99;38.07
40;89.93
64;53.12
55;73.94
41;80.15
44;77.74
63;45.69
80;49.86
61;56.1
75;51.16
37;64.17
44;69.46
39;67.55
97;37.94
32;95.58
41;73.68
30;92.28
83;49.98
54;48.03
40;76.25
47;70.15
82;38.25
34;83.33
77;51.43
54;47.88
63;45.74
49;89.21
103;16.43
87;32.42
95;39.1
82;57.82
50;89.65
36;76.88
46;65.3
38;82.67
48;58.0
22;94.03
79;57.11
103;37.42
67;57.04
92;27.01
49;79.71
55;74.73
73;54.3
108;42.77
36;53.52
48;57.71
77;45.58
79;59.03
48;76.61
59;49.18
65;45.78
59;68.2
49;56.62
60;59.8
80;43.22
69;45.85
55;36.7
86;64.19
80;53.66
73;54.46
76;28.52
60;48.58
61;65.58
86;48.76
60;53.05
70;83.36
37;60.74
38;67.92
51;54.91
43;86.88
45;42.41
44;79.27
38;102.45
62;53.7
62;65.1
51;91.9
69;60.74
37;77.67
99;39.48
57;43.49
57;52.57
65;41.55
45;87.07
103;49.34
43;88.32
59;45.14
67;53.25
105;42.31
47;63.31
29;92.02
49;79.67
47;60.9
26;66.1
34;61.82
39;51.18
56;90.49
37;62.69
93;36.48
90;37.46
91;40.5
35;77.4
47;75.0
54;66.83
73;63.27
88;32.0
29;92.78
83;61.27
41;75.22
80;38.64
78;39.6
88;40.86
64;70.08
92;30.51
46;79.95
39;94.14
102;38.97
50;62.07
77;52.01
94;32.67
42;96.22
49;68.62
95;52.53
47;74.61
43;62.03
93;33.69
67;48.17
103;43.0
58;67.71
54;85.81
108;52.1
41;69.82
41;87.13
34;74.28
65;61.87
44;93.13
100;30.63
51;65.54
56;54.63
61;59.57
47;71.93
77;56.45
30;65.1
47;55.67
110;46.3
55;96.0
60;56.11
41;62.21
56;68.3
42;86.02
52;42.13
51;81.3
38;96.72
103;17.1
79;62.04
66;69.88
58;74.19
51;69.1
29;69.47
83;56.4
50;98.31
50;68.01
81;55.92
49;68.64
65;57.75
48;87.4
42;107.23
95;39.9
56;69.92
40;90.43
54;74.95
54;53.29
93;29.07
35;52.86
87;44.91
52;71.97
71;54.79
45;82.05
100;40.58
52;63.42
74;49.12
54;54.74
46;81.23
60;72.55
46;60.16
88;37.72
29;85.35
40;86.93
31;53.82
37;61.41
63;61.64
68;37.14
42;67.62
67;57.03
52;85.55
32;60.53
42;82.72
64;81.14
91;34.23
92;39.79
53;69.77
56;74.54
81;45.78
69;78.77
39;65.37
43;90.46
58;59.23
96;40.11
51;73.23
92;20.73
88;53.41
103;40.56
67;49.28
66;86.69
38;68.44
77;44.22
65;42.46
80;34.03
78;61.95
25;81.0
49;50.8
60;64.25
55;59.9
38;79.46
79;39.33
66;61.08
30;60.64
86;50.75
60;72.49
56;79.33
99;54.51
67;55.19
89;34.95
102;38.39
55;70.02
83;25.8
54;58.8
31;77.85
33;70.84
44;75.92
34;86.68
67;83.27
69;59.73
65;41.67
69;57.02
58;60.91
71;51.46
105;36.47
46;59.98
52;59.94
47;66.89
41;72.75
48;60.86
46;63.66
92;57.64
49;92.03
70;59.17
51;50.99
37;61.46
41;59.15
76;49.34
68;46.8
105;48.73
